base_name,fuel,name,capacity_mw,note,planned_year
Long Sơn #1,NĐ hóa dầu,NĐ hóa dầu Long Sơn #1,75,IPP (đồng phát),2017
"Long Sơn #2,3",NĐ hóa dầu,"NĐ hóa dầu Long Sơn #2,3",2x75,IPP (đồng phát),2018
Lông Tạo,TĐ,TĐ Lông Tạo,42,IPP,2017
Lục Nam #1,NĐ,NĐ Lục Nam #1,50,IPP,2022
Lục Nam #2,NĐ,NĐ Lục Nam #2,50,IPP,2023
Miền Trung I,TBKHH,TBKHH Miền Trung I,750,Sembcrop (BOT),2023
Miền Trung II,TBKHH,TBKHH Miền Trung II,750,PVN,2024
Miền Trung III (nếu khi cho hóa dầu không khả thi),TBKHH,TBKHH Miền Trung III (nếu khi cho hóa dầu không khả thi),750,PVN,2026
Mỹ Lý,TĐ,TĐ Mỹ Lý,250,IPP,2021
Na Dương II,NĐ,NĐ Na Dương II,110,Vinacomin,2019
"Nậm Củm 1,4,5",TĐ,"TĐ Nậm Củm 1,4,5",65,IPP,2019
"Nậm Củm 2,3,6",TĐ,"TĐ Nậm Củm 2,3,6",54,IPP,2020
Nam Định I #1,NĐ,NĐ Nam Định I #1,600,Taekwang Power Holdings - ACWA Power (BOT),2021
Nam Định I #2,NĐ,NĐ Nam Định I #2,600,Taekwang Power Holdings - ACEW Power (BOT),2022
Nậm Mô (Láo),TĐ,TĐ Nậm Mô (Láo),72,IPP,2026
Nậm Mô (Việt Nam),TĐ,TĐ Nậm Mô (Việt Nam),95,IPP,2020
Nậm Na 3,TĐ,TĐ Nậm Na 3,84,IPP,2016
Nậm Phà 5,TĐ,TĐ Nậm Phà 5,35,IPP,2020
Nậm Toóng,TĐ,TĐ Nậm Toóng,34,IPP,2016
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",260,,2016
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",360,,2017
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",520,,2018
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",450,,2019
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",470,,2020
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",790,,2021
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",1200,,2022
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",1000,,2023
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",1200,,2024
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",1800,,2025
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",2160,,2026
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",2910,,2027
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",3240,,2028
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",3350,,2029
"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",3530,,2030
Nghi Sơn II #1,NĐ,NĐ Nghi Sơn II #1,600,Marubeni - Kepco (BOT),2021
Nghi Sơn II #2,NĐ,NĐ Nghi Sơn II #2,600,Marubeni - Kepco (BOT),2022
Nhạn Hạc,TĐ,TĐ Nhạn Hạc,59,IPP,2016
Nho Quế 1,TĐ,TĐ Nho Quế 1,32,IPP,2016
Nho Quế 2,TĐ,TĐ Nho Quế 2,48,IPP,2016
Ninh Thuận I #1,Điện hạt nhân,Điện hạt nhân Ninh Thuận I #1,1200,,2028
Ninh Thuận I #2,Điện hạt nhân,Điện hạt nhân Ninh Thuận I #2,1200,EVN,2029
Ninh Thuận II #1,Điện hạt nhân,Điện hạt nhân Ninh Thuận II #1,1100,EVN,2029
Ninh Thuận II #2,Điện hạt nhân,Điện hạt nhân Ninh Thuận II #2,1100,EVN,2030
Ô Môn II,TBKHH,TBKHH Ô Môn II,750,,2026
Ô Môn III,TBKHH,TBKHH Ô Môn III,750,EVN,2020
Ô Môn IV,TBKHH,TBKHH Ô Môn IV,750,EVN,2021
Pắc Ma,TĐ,TĐ Pắc Ma,140,Cty CP thụy điển Pắc Ma,2019
Phú Thọ,TĐ,TĐ Phú Thọ,105,Cty Cổ phần Tập đoàn XD & Bình Minh,2023
Quảng Ninh III #1,NĐ,NĐ Quảng Ninh III #1,600,,2029
Quảng Ninh III #2,NĐ,NĐ Quảng Ninh III #2,600,,2030
Quảng Trạch I #1,NĐ,NĐ Quảng Trạch I #1,600,PVN,2021
Quảng Trạch I #2,NĐ,NĐ Quảng Trạch I #2,600,PBN,2022
Quảng Trạch II #1,NĐ,NĐ Quảng Trạch II #1,600,EVN,2028
Quảng Trạch II #2,NĐ,NĐ Quảng Trạch II #2,600,,2029
Quảng Trị #1,NĐ,NĐ Quảng Trị #1,600,EGATi (BOT),2023
Quảng Trị #2,NĐ,NĐ Quảng Trị #2,600,EGATi (BOT),2024
Quỳnh Lập I #1,NĐ,NĐ Quỳnh Lập I #1,600,Vinacomin,2022
Quỳnh Lập I #2,NĐ,NĐ Quỳnh Lập I #2,600,Vinacomin,2023
Quỳnh Lập II #1,NĐ,NĐ Quỳnh Lập II #1,600,BOT,2026
