std_name,base_name,std_fuel,capacity_mw,planned_year
Mien Trung 2,Miền Trung II,Gas,750,2024
Mien Trung 3,Miền Trung III (nếu khi cho hóa dầu không khả thi),Gas,750,2026
My Ly,Mỹ Lý,Hydro,250,2021
Na Duong 2,Na Dương II,Coal,110,2019
"Nam Cum 1, 4, 5","Nậm Củm 1,4,5",Hydro,65,2019
"Nam Cum 2, 3, 6","Nậm Củm 2,3,6",Hydro,54,2020
Nam Dinh 1,Nam Định I #1,Coal,600,2021
Nam Dinh 1,Nam Định I #2,Coal,600,2022
Nam Mo,Nậm Mô (Việt Nam),Hydro,95,2020
Nam Mo,Nậm Mô (Láo),Hydro,72,2026
Nam Na 3,Nậm Na 3,Hydro,84,2016
Nam Pha 5,Nậm Phà 5,Hydro,35,2020
Nam Toong,Nậm Toóng,Hydro,34,2016
Nghi Son 2,Nghi Sơn II #1,Coal,600,2021
Nghi Son 2,Nghi Sơn II #2,Coal,600,2022
Nhan Hac,Nhạn Hạc,Hydro,59,2016
Nho Que 1,Nho Quế 1,Hydro,32,2016
Nho Que 2,Nho Quế 2,Hydro,48,2016
Ninh Thuan 1,Ninh Thuận I #1,Nuclear,1200,2028
Ninh Thuan 1,Ninh Thuận I #2,Nuclear,1200,2029
Ninh Thuan 2,Ninh Thuận II #1,Nuclear,1100,2029
Ninh Thuan 2,Ninh Thuận II #2,Nuclear,1100,2030
O Mon 2,Ô Môn II,Gas,750,2026
O Mon 3,Ô Môn III,Gas,750,2020
O Mon 4,Ô Môn IV,Gas,750,2021
Pac Ma,Pắc Ma,Hydro,140,2019
Phu Tho,Phú Thọ,Hydro,105,2023
Quang Ninh 3,Quảng Ninh III #1,Coal,600,2029
Quang Ninh 3,Quảng Ninh III #2,Coal,600,2030
Quang Trach 1,Quảng Trạch I #1,Coal,600,2021
Quang Trach 1,Quảng Trạch I #2,Coal,600,2022
Quang Trach 2,Quảng Trạch II #1,Coal,600,2028
Quang Trach 2,Quảng Trạch II #2,Coal,600,2029
Quang Tri,Quảng Trị #1,Coal,600,2023
Quang Tri,Quảng Trị #2,Coal,600,2024
Quynh Lap 1,Quỳnh Lập I #1,Coal,600,2022
Quynh Lap 1,Quỳnh Lập I #2,Coal,600,2023
Quynh Lap 2,Quỳnh Lập II #1,Coal,600,2026
Quynh Lap 2,Quỳnh Lập II #2,Coal,600,2027
Rang Dong,Rạng Đông,Coal,100,2025
Sekaman 1,Sêkaman 1 (Lào),Hydro,290,2016
Sekaman 4,Sêkaman 4 (Lào),Hydro,80,2018
Sekaman Xanxay,Sêkaman Xanxay (Lào),Hydro,32,2017
Soc Trang,Sóc Trăng,Wind,99,2019
Son My 1,Sơn Mỹ I #1,Gas,750,2026
Son My 1,Sơn Mỹ I #2,Gas,750,2027
Son My 1,Sơn Mỹ I #3,Gas,750,2028
Son My 2,Sơn Mỹ II #1,Gas,750,2023
Son My 2,Sơn Mỹ II #2,Gas,750,2024
Son My 2,Sơn Mỹ II #3,Gas,750,2025
Song Bung 2,Sông Bung 2,Hydro,100,2016
Song Hau 1,"Sông Hậu I #1,2",Coal,1200,2019
Song Hau 2,Sông Hậu II #1,Coal,1000,2021
